,origin,period,destin,trade_value_usd,period_date
597,Croatia,201512,Slovenia,3294,2015-12-01
598,Germany,201512,Slovenia,91,2015-12-01
599,Italy,201512,Slovenia,60283,2015-12-01
600,Netherlands,201512,Slovenia,143,2015-12-01
601,India,201512,Slovenia,109,2015-12-01
602,Spain,201512,Slovenia,62027,2015-12-01
604,Austria,201503,Slovenia,55168,2015-03-01
605,Costa Rica,201503,Slovenia,76,2015-03-01
606,Croatia,201503,Slovenia,869,2015-03-01
607,France,201503,Slovenia,478,2015-03-01
608,Germany,201503,Slovenia,107,2015-03-01
609,Hungary,201503,Slovenia,22,2015-03-01
610,Israel,201503,Slovenia,1434,2015-03-01
611,Italy,201503,Slovenia,96253,2015-03-01
612,Morocco,201503,Slovenia,3816,2015-03-01
613,Netherlands,201503,Slovenia,1159,2015-03-01
614,India,201503,Slovenia,21,2015-03-01
615,Spain,201503,Slovenia,169606,2015-03-01
626,Austria,201609,Slovenia,57814,2016-09-01
627,Bosnia Herzegovina,201609,Slovenia,390712,2016-09-01
628,Croatia,201609,Slovenia,17018,2016-09-01
629,France,201609,Slovenia,96,2016-09-01
630,Germany,201609,Slovenia,9382,2016-09-01
631,Hungary,201609,Slovenia,283,2016-09-01
632,Italy,201609,Slovenia,39512,2016-09-01
633,Netherlands,201609,Slovenia,1099,2016-09-01
634,Serbia,201609,Slovenia,307052,2016-09-01
635,Spain,201609,Slovenia,2986,2016-09-01
646,Austria,201412,Slovenia,11993,2014-12-01
647,Croatia,201412,Slovenia,761,2014-12-01
648,France,201412,Slovenia,67,2014-12-01
649,Hungary,201412,Slovenia,2,2014-12-01
650,Israel,201412,Slovenia,22333,2014-12-01
651,Italy,201412,Slovenia,99066,2014-12-01
652,India,201412,Slovenia,24,2014-12-01
653,Spain,201412,Slovenia,65355,2014-12-01
38,Belgium,201401,Spain,8357,2014-01-01
39,Czechia,201401,Spain,2382,2014-01-01
40,Ecuador,201401,Spain,109,2014-01-01
41,France,201401,Spain,2463,2014-01-01
42,Germany,201401,Spain,3756,2014-01-01
43,Greece,201401,Spain,52004,2014-01-01
44,Italy,201401,Spain,99707,2014-01-01
45,Morocco,201401,Spain,1629430,2014-01-01
46,Netherlands,201401,Spain,122531,2014-01-01
47,Poland,201401,Spain,1497,2014-01-01
48,Portugal,201401,Spain,585,2014-01-01
49,Romania,201401,Spain,6220,2014-01-01
92,Belgium,201402,Spain,3414,2014-02-01
93,Ecuador,201402,Spain,178,2014-02-01
94,France,201402,Spain,3551,2014-02-01
95,Germany,201402,Spain,68274,2014-02-01
96,Greece,201402,Spain,27315,2014-02-01
97,Guatemala,201402,Spain,41,2014-02-01
98,Italy,201402,Spain,73573,2014-02-01
99,Lithuania,201402,Spain,505,2014-02-01
100,Morocco,201402,Spain,2027483,2014-02-01
101,Netherlands,201402,Spain,354043,2014-02-01
102,Poland,201402,Spain,6091,2014-02-01
103,Portugal,201402,Spain,328,2014-02-01
104,Romania,201402,Spain,5217,2014-02-01
141,Czechia,201403,Spain,44798,2014-03-01
142,Ecuador,201403,Spain,221,2014-03-01
143,France,201403,Spain,1797,2014-03-01
144,Germany,201403,Spain,1963,2014-03-01
145,Greece,201403,Spain,15025,2014-03-01
146,Italy,201403,Spain,80998,2014-03-01
147,Lithuania,201403,Spain,138,2014-03-01
148,Morocco,201403,Spain,1040051,2014-03-01
149,Netherlands,201403,Spain,216760,2014-03-01
150,Poland,201403,Spain,138,2014-03-01
151,Portugal,201403,Spain,415,2014-03-01
152,United Kingdom,201403,Spain,127662,2014-03-01
187,Belgium,201404,Spain,11865,2014-04-01
188,Croatia,201404,Spain,207,2014-04-01
189,Czechia,201404,Spain,13551,2014-04-01
190,Ecuador,201404,Spain,166,2014-04-01
191,France,201404,Spain,2652,2014-04-01
192,Germany,201404,Spain,33676,2014-04-01
193,Greece,201404,Spain,20291,2014-04-01
194,Italy,201404,Spain,44740,2014-04-01
195,Lithuania,201404,Spain,414,2014-04-01
196,Morocco,201404,Spain,10318,2014-04-01
197,Netherlands,201404,Spain,129746,2014-04-01
198,Portugal,201404,Spain,691,2014-04-01
199,Romania,201404,Spain,4116,2014-04-01
235,Belgium,201405,Spain,14709,2014-05-01
236,Czechia,201405,Spain,7062,2014-05-01
237,Ecuador,201405,Spain,163,2014-05-01
238,France,201405,Spain,1619,2014-05-01
239,Germany,201405,Spain,69532,2014-05-01
240,Greece,201405,Spain,15403,2014-05-01
241,Italy,201405,Spain,56973,2014-05-01
242,Netherlands,201405,Spain,73559,2014-05-01
243,Poland,201405,Spain,5661,2014-05-01
244,Portugal,201405,Spain,1687,2014-05-01
245,Romania,201405,Spain,2381,2014-05-01
246,United Kingdom,201405,Spain,2681,2014-05-01
277,Belgium,201406,Spain,9718,2014-06-01
278,Czechia,201406,Spain,11349,2014-06-01
279,Ecuador,201406,Spain,217,2014-06-01
280,France,201406,Spain,2433,2014-06-01
281,Germany,201406,Spain,3711,2014-06-01
282,Greece,201406,Spain,20211,2014-06-01
283,Italy,201406,Spain,63366,2014-06-01
284,Lithuania,201406,Spain,68,2014-06-01
285,Netherlands,201406,Spain,96761,2014-06-01
286,Poland,201406,Spain,2175,2014-06-01
287,Portugal,201406,Spain,3656,2014-06-01
288,Romania,201406,Spain,2854,2014-06-01
289,United Kingdom,201406,Spain,2610,2014-06-01
316,Belgium,201407,Spain,74857,2014-07-01
317,Czechia,201407,Spain,2288,2014-07-01
318,Ecuador,201407,Spain,230,2014-07-01
319,France,201407,Spain,1625,2014-07-01
320,Germany,201407,Spain,142931,2014-07-01
321,Greece,201407,Spain,60871,2014-07-01
322,Italy,201407,Spain,24262,2014-07-01
323,Lithuania,201407,Spain,352,2014-07-01
324,Netherlands,201407,Spain,37801,2014-07-01
325,Poland,201407,Spain,4969,2014-07-01
326,Portugal,201407,Spain,3859,2014-07-01
327,Romania,201407,Spain,2640,2014-07-01
328,Slovenia,201407,Spain,1449,2014-07-01
329,United Kingdom,201407,Spain,2302,2014-07-01
354,Belgium,201408,Spain,652,2014-08-01
355,Ecuador,201408,Spain,333,2014-08-01
356,France,201408,Spain,919,2014-08-01
357,Germany,201408,Spain,26739,2014-08-01
358,Greece,201408,Spain,42372,2014-08-01
359,Netherlands,201408,Spain,27817,2014-08-01
360,Poland,201408,Spain,2450,2014-08-01
361,Portugal,201408,Spain,5659,2014-08-01
362,Romania,201408,Spain,2743,2014-08-01
363,United Kingdom,201408,Spain,2996,2014-08-01
393,Belgium,201409,Spain,23196,2014-09-01
394,Czechia,201409,Spain,6476,2014-09-01
395,Ecuador,201409,Spain,116,2014-09-01
396,France,201409,Spain,2167,2014-09-01
397,Germany,201409,Spain,39,2014-09-01
398,Greece,201409,Spain,41283,2014-09-01
399,Italy,201409,Spain,929,2014-09-01
400,Netherlands,201409,Spain,32794,2014-09-01
401,Portugal,201409,Spain,57951,2014-09-01
402,Romania,201409,Spain,271,2014-09-01
403,Slovenia,201409,Spain,4554,2014-09-01
404,United Kingdom,201409,Spain,2890,2014-09-01
440,Belgium,201410,Spain,36929,2014-10-01
441,Czechia,201410,Spain,1065,2014-10-01
442,Ecuador,201410,Spain,241,2014-10-01
443,France,201410,Spain,4474,2014-10-01
444,Germany,201410,Spain,140670,2014-10-01
445,Greece,201410,Spain,4410,2014-10-01
446,Italy,201410,Spain,13623,2014-10-01
447,Lithuania,201410,Spain,76,2014-10-01
448,Morocco,201410,Spain,71235,2014-10-01
449,Netherlands,201410,Spain,25118,2014-10-01
450,Poland,201410,Spain,1293,2014-10-01
451,Portugal,201410,Spain,20480,2014-10-01
452,Romania,201410,Spain,2775,2014-10-01
453,United Kingdom,201410,Spain,3358,2014-10-01
493,Austria,201411,Spain,70043,2014-11-01
494,Belgium,201411,Spain,16663,2014-11-01
495,Czechia,201411,Spain,5188,2014-11-01
496,Ecuador,201411,Spain,125,2014-11-01
497,France,201411,Spain,3567,2014-11-01
498,Germany,201411,Spain,18084,2014-11-01
499,Greece,201411,Spain,3941,2014-11-01
500,Italy,201411,Spain,48641,2014-11-01
501,Lithuania,201411,Spain,75,2014-11-01
502,Morocco,201411,Spain,1952604,2014-11-01
503,Netherlands,201411,Spain,5263,2014-11-01
504,Poland,201411,Spain,20292,2014-11-01
505,Portugal,201411,Spain,711,2014-11-01
506,Romania,201411,Spain,1235,2014-11-01
507,United Kingdom,201411,Spain,77464,2014-11-01
548,Belgium,201412,Spain,16240,2014-12-01
549,Ecuador,201412,Spain,345,2014-12-01
550,France,201412,Spain,3181,2014-12-01
551,Germany,201412,Spain,22109,2014-12-01
552,Greece,201412,Spain,73271,2014-12-01
553,Italy,201412,Spain,64553,2014-12-01
554,Lithuania,201412,Spain,136,2014-12-01
555,Morocco,201412,Spain,2625714,2014-12-01
556,Netherlands,201412,Spain,12689,2014-12-01
557,Poland,201412,Spain,17485,2014-12-01
558,Portugal,201412,Spain,358,2014-12-01
559,Romania,201412,Spain,1529,2014-12-01
560,United Kingdom,201412,Spain,185791,2014-12-01
598,Algeria,201501,Spain,4184,2015-01-01
599,Belgium,201501,Spain,9262,2015-01-01
600,Czechia,201501,Spain,4044,2015-01-01
601,Ecuador,201501,Spain,221,2015-01-01
602,France,201501,Spain,371581,2015-01-01
603,Germany,201501,Spain,5229,2015-01-01
604,Greece,201501,Spain,46449,2015-01-01
605,Italy,201501,Spain,52748,2015-01-01
606,Lithuania,201501,Spain,35,2015-01-01
607,Morocco,201501,Spain,1710855,2015-01-01
608,Netherlands,201501,Spain,9901,2015-01-01
609,Poland,201501,Spain,3788,2015-01-01
610,Portugal,201501,Spain,244,2015-01-01
611,Romania,201501,Spain,70,2015-01-01
612,Slovenia,201501,Spain,1174,2015-01-01
652,Belgium,201502,Spain,31723,2015-02-01
653,Czechia,201502,Spain,3927,2015-02-01
654,Ecuador,201502,Spain,114,2015-02-01
655,France,201502,Spain,75171,2015-02-01
656,Germany,201502,Spain,158594,2015-02-01
657,Greece,201502,Spain,42131,2015-02-01
658,Italy,201502,Spain,71789,2015-02-01
659,Lithuania,201502,Spain,125,2015-02-01
660,Morocco,201502,Spain,1865611,2015-02-01
661,Netherlands,201502,Spain,44458,2015-02-01
662,Poland,201502,Spain,2281,2015-02-01
663,Portugal,201502,Spain,159,2015-02-01
664,United Kingdom,201502,Spain,67271,2015-02-01
705,Czechia,201503,Spain,32709,2015-03-01
706,Ecuador,201503,Spain,293,2015-03-01
707,France,201503,Spain,3988,2015-03-01
708,Germany,201503,Spain,3772,2015-03-01
709,Italy,201503,Spain,59371,2015-03-01
710,Lithuania,201503,Spain,238,2015-03-01
711,Morocco,201503,Spain,1133687,2015-03-01
712,Netherlands,201503,Spain,83593,2015-03-01
713,Poland,201503,Spain,6730,2015-03-01
714,Portugal,201503,Spain,704,2015-03-01
715,Romania,201503,Spain,1203,2015-03-01
716,Slovenia,201503,Spain,12128,2015-03-01
717,United Kingdom,201503,Spain,1994,2015-03-01
751,Belgium,201504,Spain,2210,2015-04-01
752,Ecuador,201504,Spain,248,2015-04-01
753,France,201504,Spain,15489,2015-04-01
754,Germany,201504,Spain,33490,2015-04-01
755,Greece,201504,Spain,21580,2015-04-01
756,Hungary,201504,Spain,18432,2015-04-01
757,Italy,201504,Spain,55361,2015-04-01
758,Morocco,201504,Spain,252908,2015-04-01
759,Netherlands,201504,Spain,22841,2015-04-01
760,Portugal,201504,Spain,205,2015-04-01
761,Slovenia,201504,Spain,10186,2015-04-01
762,United Kingdom,201504,Spain,1962,2015-04-01
796,Belgium,201505,Spain,6456,2015-05-01
797,Czechia,201505,Spain,1851,2015-05-01
798,Ecuador,201505,Spain,123,2015-05-01
799,France,201505,Spain,3167,2015-05-01
800,Germany,201505,Spain,37185,2015-05-01
801,Greece,201505,Spain,5720,2015-05-01
802,Italy,201505,Spain,59641,2015-05-01
803,Lithuania,201505,Spain,67,2015-05-01
804,Morocco,201505,Spain,70959,2015-05-01
805,Netherlands,201505,Spain,11652,2015-05-01
806,Portugal,201505,Spain,4906,2015-05-01
807,Romania,201505,Spain,948,2015-05-01
808,Slovenia,201505,Spain,4516,2015-05-01
809,United Kingdom,201505,Spain,1594,2015-05-01
838,Belgium,201506,Spain,7412,2015-06-01
839,Czechia,201506,Spain,3868,2015-06-01
840,Ecuador,201506,Spain,247,2015-06-01
841,France,201506,Spain,437,2015-06-01
842,Germany,201506,Spain,16528,2015-06-01
843,Greece,201506,Spain,19443,2015-06-01
844,Italy,201506,Spain,51703,2015-06-01
845,Lithuania,201506,Spain,34,2015-06-01
846,Netherlands,201506,Spain,19185,2015-06-01
847,Poland,201506,Spain,3028,2015-06-01
848,Portugal,201506,Spain,6021,2015-06-01
849,Slovenia,201506,Spain,762,2015-06-01
850,United Kingdom,201506,Spain,2478,2015-06-01
877,Belgium,201507,Spain,15141,2015-07-01
878,Czechia,201507,Spain,1935,2015-07-01
879,Ecuador,201507,Spain,110,2015-07-01
880,France,201507,Spain,14790,2015-07-01
881,Germany,201507,Spain,152306,2015-07-01
882,Greece,201507,Spain,27567,2015-07-01
883,Italy,201507,Spain,19430,2015-07-01
884,Lithuania,201507,Spain,66,2015-07-01
885,Netherlands,201507,Spain,83702,2015-07-01
886,Poland,201507,Spain,99,2015-07-01
887,Portugal,201507,Spain,8357,2015-07-01
888,Romania,201507,Spain,4321,2015-07-01
889,Turkey,201507,Spain,44,2015-07-01
890,United Kingdom,201507,Spain,2331,2015-07-01
915,Belgium,201508,Spain,342714,2015-08-01
916,Czechia,201508,Spain,2896,2015-08-01
917,France,201508,Spain,7385,2015-08-01
918,Germany,201508,Spain,32002,2015-08-01
919,Greece,201508,Spain,287687,2015-08-01
920,Italy,201508,Spain,8377,2015-08-01
921,Lithuania,201508,Spain,67,2015-08-01
922,Netherlands,201508,Spain,397061,2015-08-01
923,Poland,201508,Spain,9212,2015-08-01
924,Portugal,201508,Spain,12754,2015-08-01
925,United Kingdom,201508,Spain,2696,2015-08-01
959,Belgium,201509,Spain,65082,2015-09-01
960,Czechia,201509,Spain,6789,2015-09-01
961,Ecuador,201509,Spain,157,2015-09-01
962,France,201509,Spain,4432,2015-09-01
963,Germany,201509,Spain,65935,2015-09-01
964,Greece,201509,Spain,44143,2015-09-01
965,Italy,201509,Spain,11243,2015-09-01
966,Morocco,201509,Spain,90,2015-09-01
967,Netherlands,201509,Spain,39318,2015-09-01
968,Poland,201509,Spain,2547,2015-09-01
969,Portugal,201509,Spain,7395,2015-09-01
970,United Kingdom,201509,Spain,2020,2015-09-01
1007,Belgium,201510,Spain,36188,2015-10-01
1008,Ecuador,201510,Spain,56,2015-10-01
1009,France,201510,Spain,3112,2015-10-01
1010,Germany,201510,Spain,7831,2015-10-01
1011,Greece,201510,Spain,8303,2015-10-01
1012,Italy,201510,Spain,30132,2015-10-01
1013,Lithuania,201510,Spain,56,2015-10-01
1014,Morocco,201510,Spain,20998,2015-10-01
1015,Netherlands,201510,Spain,16763,2015-10-01
1016,Poland,201510,Spain,5067,2015-10-01
1017,Portugal,201510,Spain,6123,2015-10-01
1018,Romania,201510,Spain,2899,2015-10-01
1019,United Kingdom,201510,Spain,19156,2015-10-01
1061,Belgium,201511,Spain,14685,2015-11-01
1062,Colombia,201511,Spain,15,2015-11-01
1063,France,201511,Spain,3183,2015-11-01
1064,Germany,201511,Spain,28336,2015-11-01
1065,Greece,201511,Spain,20977,2015-11-01
1066,Italy,201511,Spain,41751,2015-11-01
1067,Lithuania,201511,Spain,59,2015-11-01
1068,Morocco,201511,Spain,1254872,2015-11-01
1069,Netherlands,201511,Spain,5557,2015-11-01
1070,Poland,201511,Spain,1754,2015-11-01
1071,Portugal,201511,Spain,5176,2015-11-01
1072,Romania,201511,Spain,902,2015-11-01
1073,Slovenia,201511,Spain,4698,2015-11-01
1074,Sweden,201511,Spain,552,2015-11-01
1075,United Kingdom,201511,Spain,1639,2015-11-01
1120,Belgium,201512,Spain,72560,2015-12-01
1121,Czechia,201512,Spain,2752,2015-12-01
1122,Ecuador,201512,Spain,22,2015-12-01
1123,France,201512,Spain,2621,2015-12-01
1124,Germany,201512,Spain,33860,2015-12-01
1125,Greece,201512,Spain,26964,2015-12-01
1126,Italy,201512,Spain,43715,2015-12-01
1127,Latvia,201512,Spain,65,2015-12-01
1128,Lithuania,201512,Spain,120,2015-12-01
1129,Morocco,201512,Spain,1179143,2015-12-01
1130,Netherlands,201512,Spain,8854,2015-12-01
1131,Poland,201512,Spain,12726,2015-12-01
1132,Portugal,201512,Spain,3916,2015-12-01
1133,Slovenia,201512,Spain,2980,2015-12-01
1134,Sweden,201512,Spain,283,2015-12-01
1135,United Kingdom,201512,Spain,7277,2015-12-01
1176,Belgium,201601,Spain,701,2016-01-01
1177,Czechia,201601,Spain,5873,2016-01-01
1178,Ecuador,201601,Spain,186,2016-01-01
1179,France,201601,Spain,4238,2016-01-01
1180,Germany,201601,Spain,25843,2016-01-01
1181,Greece,201601,Spain,51504,2016-01-01
1182,Honduras,201601,Spain,63072,2016-01-01
1183,Italy,201601,Spain,1167,2016-01-01
1184,Lithuania,201601,Spain,88,2016-01-01
1185,Morocco,201601,Spain,988671,2016-01-01
1186,Netherlands,201601,Spain,9254,2016-01-01
1187,Poland,201601,Spain,4661,2016-01-01
1188,Portugal,201601,Spain,1840,2016-01-01
1189,Slovenia,201601,Spain,7270,2016-01-01
1190,United Kingdom,201601,Spain,1140,2016-01-01
1231,Belgium,201602,Spain,15267,2016-02-01
1232,Czechia,201602,Spain,1949,2016-02-01
1233,Ecuador,201602,Spain,177,2016-02-01
1234,France,201602,Spain,7553,2016-02-01
1235,Germany,201602,Spain,25866,2016-02-01
1236,Greece,201602,Spain,25882,2016-02-01
1237,Honduras,201602,Spain,58649,2016-02-01
1238,Latvia,201602,Spain,3106,2016-02-01
1239,Morocco,201602,Spain,1050610,2016-02-01
1240,Netherlands,201602,Spain,5180,2016-02-01
1241,Poland,201602,Spain,3716,2016-02-01
1242,Portugal,201602,Spain,2885,2016-02-01
1243,Romania,201602,Spain,8,2016-02-01
1244,Slovenia,201602,Spain,6951,2016-02-01
1245,Sweden,201602,Spain,133,2016-02-01
1246,United Kingdom,201602,Spain,2679,2016-02-01
1286,Belgium,201603,Spain,3298,2016-03-01
1287,Czechia,201603,Spain,3167,2016-03-01
1288,Denmark,201603,Spain,48137,2016-03-01
1289,Ecuador,201603,Spain,291,2016-03-01
1290,France,201603,Spain,69237,2016-03-01
1291,Germany,201603,Spain,360964,2016-03-01
1292,Honduras,201603,Spain,58626,2016-03-01
1293,Italy,201603,Spain,1193,2016-03-01
1294,Lithuania,201603,Spain,88,2016-03-01
1295,Morocco,201603,Spain,605737,2016-03-01
1296,Netherlands,201603,Spain,45073,2016-03-01
1297,Poland,201603,Spain,3810,2016-03-01
1298,Portugal,201603,Spain,2010,2016-03-01
1299,Romania,201603,Spain,399,2016-03-01
1300,Slovenia,201603,Spain,4462,2016-03-01
1301,United Kingdom,201603,Spain,9757,2016-03-01
1336,Czechia,201604,Spain,25987,2016-04-01
1337,Ecuador,201604,Spain,690,2016-04-01
1338,France,201604,Spain,3876,2016-04-01
1339,Germany,201604,Spain,92556,2016-04-01
1340,Honduras,201604,Spain,37497,2016-04-01
1341,Lithuania,201604,Spain,34,2016-04-01
1342,Morocco,201604,Spain,41558,2016-04-01
1343,Poland,201604,Spain,311,2016-04-01
1344,Portugal,201604,Spain,31234,2016-04-01
1345,Slovenia,201604,Spain,14022,2016-04-01
1346,United Kingdom,201604,Spain,2326,2016-04-01
1380,Belgium,201605,Spain,378,2016-05-01
1381,Czechia,201605,Spain,3586,2016-05-01
1382,Dominican Rep.,201605,Spain,56953,2016-05-01
1383,Ecuador,201605,Spain,221,2016-05-01
1384,France,201605,Spain,6831,2016-05-01
1385,Germany,201605,Spain,81535,2016-05-01
1386,Lithuania,201605,Spain,117,2016-05-01
1387,Morocco,201605,Spain,6039,2016-05-01
1388,Netherlands,201605,Spain,59,2016-05-01
1389,"Other Europe, nes",201605,Spain,34,2016-05-01
1390,Poland,201605,Spain,3620,2016-05-01
1391,Portugal,201605,Spain,5278,2016-05-01
1392,United Kingdom,201605,Spain,1594,2016-05-01
1423,Czechia,201606,Spain,1432,2016-06-01
1424,Dominican Rep.,201606,Spain,35686,2016-06-01
1425,France,201606,Spain,3324,2016-06-01
1426,Germany,201606,Spain,1904,2016-06-01
1427,Lithuania,201606,Spain,67,2016-06-01
1428,Morocco,201606,Spain,14439,2016-06-01
1429,Netherlands,201606,Spain,235,2016-06-01
1430,Poland,201606,Spain,3874,2016-06-01
1431,Portugal,201606,Spain,6719,2016-06-01
1432,Romania,201606,Spain,202,2016-06-01
1433,Slovenia,201606,Spain,14063,2016-06-01
1434,Sweden,201606,Spain,134,2016-06-01
1435,United Kingdom,201606,Spain,2037,2016-06-01
1462,Croatia,201607,Spain,5548,2016-07-01
1463,Czechia,201607,Spain,3983,2016-07-01
1464,Dominican Rep.,201607,Spain,13613,2016-07-01
1465,Ecuador,201607,Spain,103,2016-07-01
1466,France,201607,Spain,2173,2016-07-01
1467,Germany,201607,Spain,167119,2016-07-01
1468,Morocco,201607,Spain,22935,2016-07-01
1469,Netherlands,201607,Spain,487,2016-07-01
1470,Portugal,201607,Spain,18562,2016-07-01
1471,United Kingdom,201607,Spain,1708,2016-07-01
1498,Czechia,201608,Spain,4476,2016-08-01
1499,Ecuador,201608,Spain,351,2016-08-01
1500,France,201608,Spain,1252,2016-08-01
1501,Germany,201608,Spain,56431,2016-08-01
1502,Italy,201608,Spain,142,2016-08-01
1503,Morocco,201608,Spain,1110,2016-08-01
1504,Netherlands,201608,Spain,411,2016-08-01
1505,Portugal,201608,Spain,22457,2016-08-01
1506,Romania,201608,Spain,980,2016-08-01
1507,United Kingdom,201608,Spain,2112,2016-08-01
1539,Czechia,201609,Spain,3153,2016-09-01
1540,Dominican Rep.,201609,Spain,3651,2016-09-01
1541,Ecuador,201609,Spain,129,2016-09-01
1542,France,201609,Spain,4572,2016-09-01
1543,Germany,201609,Spain,3215,2016-09-01
1544,Morocco,201609,Spain,814,2016-09-01
1545,Netherlands,201609,Spain,928,2016-09-01
1546,Poland,201609,Spain,2677,2016-09-01
1547,Portugal,201609,Spain,9110,2016-09-01
1548,United Kingdom,201609,Spain,1923,2016-09-01
1585,Austria,201610,Spain,1615,2016-10-01
1586,Czechia,201610,Spain,473,2016-10-01
1587,Dominican Rep.,201610,Spain,23975,2016-10-01
1588,Ecuador,201610,Spain,251,2016-10-01
1589,France,201610,Spain,2940,2016-10-01
1590,Germany,201610,Spain,81861,2016-10-01
1591,Italy,201610,Spain,293,2016-10-01
1592,Lithuania,201610,Spain,55,2016-10-01
1593,Morocco,201610,Spain,945,2016-10-01
1594,Poland,201610,Spain,6429,2016-10-01
1595,Portugal,201610,Spain,12049,2016-10-01
1596,Romania,201610,Spain,324,2016-10-01
1597,United Kingdom,201610,Spain,22637,2016-10-01
1635,Czechia,201611,Spain,4842,2016-11-01
1636,France,201611,Spain,2271,2016-11-01
1637,Germany,201611,Spain,39779,2016-11-01
1638,Greece,201611,Spain,2680,2016-11-01
1639,Honduras,201611,Spain,73506,2016-11-01
1640,Lithuania,201611,Spain,34,2016-11-01
1641,Morocco,201611,Spain,1493694,2016-11-01
1642,Poland,201611,Spain,3410,2016-11-01
1643,Portugal,201611,Spain,6334,2016-11-01
1644,Romania,201611,Spain,244,2016-11-01
1645,United Kingdom,201611,Spain,4895,2016-11-01
1682,Czechia,201612,Spain,5408,2016-12-01
1683,Ecuador,201612,Spain,272,2016-12-01
1684,France,201612,Spain,2743,2016-12-01
1685,Germany,201612,Spain,34831,2016-12-01
1686,Honduras,201612,Spain,53986,2016-12-01
1687,Kenya,201612,Spain,16,2016-12-01
1688,Lithuania,201612,Spain,57,2016-12-01
1689,Morocco,201612,Spain,1306574,2016-12-01
1690,Poland,201612,Spain,4758,2016-12-01
1691,Portugal,201612,Spain,7445,2016-12-01
1692,Romania,201612,Spain,937,2016-12-01
1693,United Kingdom,201612,Spain,1333,2016-12-01
4,Denmark,201401,Sweden,246352,2014-01-01
5,Germany,201401,Sweden,440783,2014-01-01
6,Italy,201401,Sweden,66711,2014-01-01
7,Jordan,201401,Sweden,39749,2014-01-01
8,Netherlands,201401,Sweden,1167358,2014-01-01
9,Spain,201401,Sweden,7108759,2014-01-01
10,Turkey,201401,Sweden,18334,2014-01-01
11,Egypt,201401,Sweden,1233,2014-01-01
16,Denmark,201402,Sweden,147636,2014-02-01
17,France,201402,Sweden,1386,2014-02-01
18,Germany,201402,Sweden,409040,2014-02-01
19,Italy,201402,Sweden,90214,2014-02-01
20,Jordan,201402,Sweden,45107,2014-02-01
21,Netherlands,201402,Sweden,1227735,2014-02-01
22,Spain,201402,Sweden,6566960,2014-02-01
23,Turkey,201402,Sweden,22630,2014-02-01
31,Belgium,201403,Sweden,935,2014-03-01
32,Denmark,201403,Sweden,43026,2014-03-01
33,France,201403,Sweden,1871,2014-03-01
34,Germany,201403,Sweden,92599,2014-03-01
35,Italy,201403,Sweden,85895,2014-03-01
36,Jordan,201403,Sweden,44896,2014-03-01
37,Netherlands,201403,Sweden,1393345,2014-03-01
38,Spain,201403,Sweden,2671487,2014-03-01
39,Turkey,201403,Sweden,45988,2014-03-01
46,Denmark,201404,Sweden,17432,2014-04-01
47,Germany,201404,Sweden,46639,2014-04-01
48,Italy,201404,Sweden,21102,2014-04-01
49,Jordan,201404,Sweden,24313,2014-04-01
50,Netherlands,201404,Sweden,1661869,2014-04-01
51,Spain,201404,Sweden,210563,2014-04-01
52,Turkey,201404,Sweden,24160,2014-04-01
62,Denmark,201405,Sweden,43187,2014-05-01
63,France,201405,Sweden,5626,2014-05-01
64,Germany,201405,Sweden,19617,2014-05-01
65,Jordan,201405,Sweden,19769,2014-05-01
66,Netherlands,201405,Sweden,1430333,2014-05-01
67,Spain,201405,Sweden,8212,2014-05-01
68,Turkey,201405,Sweden,12013,2014-05-01
79,Denmark,201406,Sweden,70718,2014-06-01
80,France,201406,Sweden,5681,2014-06-01
81,Germany,201406,Sweden,7774,2014-06-01
82,Jordan,201406,Sweden,17642,2014-06-01
83,Netherlands,201406,Sweden,1224628,2014-06-01
84,Poland,201406,Sweden,7475,2014-06-01
85,Spain,201406,Sweden,8073,2014-06-01
86,Turkey,201406,Sweden,5233,2014-06-01
97,Denmark,201407,Sweden,123177,2014-07-01
98,France,201407,Sweden,4106,2014-07-01
99,Germany,201407,Sweden,8798,2014-07-01
100,Jordan,201407,Sweden,3813,2014-07-01
101,Netherlands,201407,Sweden,1177804,2014-07-01
102,Spain,201407,Sweden,5866,2014-07-01
103,Turkey,201407,Sweden,2053,2014-07-01
104,United Kingdom,201407,Sweden,93556,2014-07-01
118,Austria,201408,Sweden,145,2014-08-01
119,Denmark,201408,Sweden,67392,2014-08-01
120,France,201408,Sweden,5507,2014-08-01
121,Germany,201408,Sweden,14783,2014-08-01
122,Jordan,201408,Sweden,1884,2014-08-01
123,Netherlands,201408,Sweden,1564229,2014-08-01
124,Spain,201408,Sweden,28696,2014-08-01
125,Turkey,201408,Sweden,2029,2014-08-01
126,United Kingdom,201408,Sweden,194061,2014-08-01
137,Denmark,201409,Sweden,20347,2014-09-01
138,France,201409,Sweden,6736,2014-09-01
139,Germany,201409,Sweden,6876,2014-09-01
140,Italy,201409,Sweden,15296,2014-09-01
141,Jordan,201409,Sweden,3508,2014-09-01
142,Netherlands,201409,Sweden,1363548,2014-09-01
143,Poland,201409,Sweden,3789,2014-09-01
144,Spain,201409,Sweden,93036,2014-09-01
145,Turkey,201409,Sweden,3929,2014-09-01
146,United Kingdom,201409,Sweden,7858,2014-09-01
154,Denmark,201410,Sweden,89318,2014-10-01
155,France,201410,Sweden,1657,2014-10-01
156,Germany,201410,Sweden,249593,2014-10-01
